id,date,brand,p.1,f.1,d.1,p.2,f.2,d.2,p.3,f.3,d.3,p.4,f.4,d.4,p.5,f.5,d.5
27,9543,2,0.6799998283,0,0,0.4899997711,0,0,0.6799998283,0,0,0.4899997711,0,0,0.6499996185,0,0
27,9560,1,0.6799998283,1,0,0.6799998283,0,1,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
27,9572,2,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.5499997139,0,0,0.6499996185,0,0
27,9616,5,0.6799998283,0,0,0.6799998283,1,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
27,9655,5,0.6799998283,0,0,0.6799998283,1,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
27,9708,2,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
27,9728,2,0.6799998283,0,0,0.5899996758,1,1,0.6799998283,0,0,0.5899996758,1,1,0.6499996185,0,0
27,9742,2,0.6799998283,0,0,0.5499997139,1,0,0.6799998283,0,0,0.5499997139,1,0,0.6499996185,0,0
27,9792,2,0.6799998283,0,0,0.5799999237,1,1,0.6799998283,0,0,0.5799999237,1,1,0.6499996185,0,0
27,9857,5,0.5899996758,0,0,0.5899996758,0,0,0.6899995804,0,0,0.5899996758,0,0,0.5499997139,0,0
28,9742,2,0.6799998283,0,0,0.5499997139,1,0,0.6799998283,0,0,0.5499997139,1,0,0.6499996185,0,0
28,9755,4,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.5499997139,0,0,0.6499996185,0,0
28,9867,4,0.6899995804,0,0,0.4899997711,0,0,0.6899995804,0,0,0.4899997711,0,0,0.5499997139,0,0
29,9212,5,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
29,9236,5,0.7899999619,1,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
29,9389,2,0.6899995804,1,0,0.6899995804,0,0,0.6899995804,1,0,0.6899995804,0,0,0.7299995422,0,0
29,9543,2,0.6899995804,1,0,0.4899997711,0,0,0.6899995804,0,0,0.4899997711,0,0,0.6499996185,0,0
29,9686,2,0.6799998283,0,0,0.5399999619,1,0,0.6799998283,0,0,0.5399999619,1,0,0.6499996185,0,0
29,9899,1,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5799999237,0,0,0.5499997139,0,0
29,9913,2,0.5899996758,0,0,0.4799997807,1,0,0.5899996758,0,0,0.4799997807,1,0,0.5499997139,0,0
29,9963,1,0.5899996758,0,0,0.5799999237,0,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
30,9164,5,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
30,9222,5,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
